timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1695350823775,131,HTTP Request,200,OK,Thread Group 1-9,text,true,,979,122,22,22,http://34.160.208.119/,131,0,0
1695350823792,116,HTTP Request,200,OK,Thread Group 1-18,text,true,,979,122,22,22,http://34.160.208.119/,116,0,0
1695350823802,113,HTTP Request,200,OK,Thread Group 1-2,text,true,,979,122,22,22,http://34.160.208.119/,113,0,0
1695350823804,117,HTTP Request,200,OK,Thread Group 1-13,text,true,,979,122,22,22,http://34.160.208.119/,117,0,0
1695350823823,100,HTTP Request,200,OK,Thread Group 1-17,text,true,,979,122,22,22,http://34.160.208.119/,99,0,0
1695350823846,102,HTTP Request,200,OK,Thread Group 1-3,text,true,,979,122,23,23,http://34.160.208.119/,102,0,0
1695350823852,99,HTTP Request,200,OK,Thread Group 1-1,text,true,,979,122,23,23,http://34.160.208.119/,99,0,0
1695350823845,108,HTTP Request,200,OK,Thread Group 1-14,text,true,,979,122,23,23,http://34.160.208.119/,108,0,0
1695350823852,102,HTTP Request,200,OK,Thread Group 1-6,text,true,,979,122,23,23,http://34.160.208.119/,102,0,0
1695350823864,95,HTTP Request,200,OK,Thread Group 1-4,text,true,,979,122,23,23,http://34.160.208.119/,95,0,0
1695350823852,113,HTTP Request,200,OK,Thread Group 1-15,text,true,,979,122,23,23,http://34.160.208.119/,113,0,0
1695350823873,107,HTTP Request,200,OK,Thread Group 1-8,text,true,,979,122,23,23,http://34.160.208.119/,107,0,0
1695350823879,110,HTTP Request,200,OK,Thread Group 1-20,text,true,,979,122,23,23,http://34.160.208.119/,110,0,0
1695350823897,98,HTTP Request,200,OK,Thread Group 1-19,text,true,,979,122,23,23,http://34.160.208.119/,98,0,0
1695350823895,104,HTTP Request,200,OK,Thread Group 1-7,text,true,,979,122,23,23,http://34.160.208.119/,104,0,0
1695350823881,123,HTTP Request,200,OK,Thread Group 1-21,text,true,,979,122,23,23,http://34.160.208.119/,123,0,0
1695350823884,121,HTTP Request,200,OK,Thread Group 1-10,text,true,,979,122,23,23,http://34.160.208.119/,121,0,0
1695350823903,105,HTTP Request,200,OK,Thread Group 1-11,text,true,,979,122,23,23,http://34.160.208.119/,105,0,0
1695350823895,115,HTTP Request,200,OK,Thread Group 1-5,text,true,,979,122,23,23,http://34.160.208.119/,115,0,0
1695350823903,107,HTTP Request,200,OK,Thread Group 1-12,text,true,,979,122,23,23,http://34.160.208.119/,107,0,0
1695350823916,103,HTTP Request,200,OK,Thread Group 1-2,text,true,,979,122,23,23,http://34.160.208.119/,103,0,0
1695350823907,112,HTTP Request,200,OK,Thread Group 1-16,text,true,,979,122,23,23,http://34.160.208.119/,112,0,0
1695350823923,106,HTTP Request,200,OK,Thread Group 1-17,text,true,,979,122,23,23,http://34.160.208.119/,106,0,0
1695350823907,124,HTTP Request,200,OK,Thread Group 1-9,text,true,,979,122,23,23,http://34.160.208.119/,124,0,0
1695350823922,115,HTTP Request,200,OK,Thread Group 1-13,text,true,,979,122,24,24,http://34.160.208.119/,114,0,0
1695350823909,135,HTTP Request,200,OK,Thread Group 1-18,text,true,,979,122,24,24,http://34.160.208.119/,135,0,0
1695350823835,215,HTTP Request,200,OK,Thread Group 1-22,text,true,,979,122,24,24,http://34.160.208.119/,215,0,22
1695350823959,92,HTTP Request,200,OK,Thread Group 1-4,text,true,,979,122,24,24,http://34.160.208.119/,92,0,0
1695350823950,107,HTTP Request,200,OK,Thread Group 1-3,text,true,,979,122,24,24,http://34.160.208.119/,107,0,0
1695350823953,104,HTTP Request,200,OK,Thread Group 1-1,text,true,,979,122,24,24,http://34.160.208.119/,104,0,0
1695350823954,104,HTTP Request,200,OK,Thread Group 1-6,text,true,,979,122,24,24,http://34.160.208.119/,103,0,0
